date,title,skills
2020-10-15,Middle/Senior QA-инженер (финансовый ассистент Олег),"Тестирование,Средний (Middle),Python,Тестирование мобильных приложений,Teamcity,Автоматизация тестирования,Функциональное тестирование,Тестирование ПО"
2020-10-15,QA engineer /Full stack/Инвестиции (API),"Тестирование,Средний (Middle),SQL,Базы данных,Java,Тестирование ПО,Функциональное тестирование,Регрессионное тестирование,Автоматизация тестирования,Selenium webdriver"
2020-10-15,QA инженер (Super App),"Тестирование,Средний (Middle),Java,Kotlin,Swift,Тестирование мобильных приложений,Автоматизация тестирования"
2020-10-15,Разработчик WebTutor,"Бэкенд,Старший (Senior),WebTutor,HTML,CSS,JavaScript,JQuery,Веб-разработка"
2020-10-09,Java/Kotlin-разработчик (BPM),"Бэкенд,Средний (Middle),Java,Kotlin,Spring Boot,Kafka"
2020-10-08,ETL инженер,"Администрирование,Средний (Middle),Hadoop,Dwh,CI/CD methodologies,Linux,Python,Bash"
2020-10-08,Системный инженер (Mobile) ,"Администрирование,Старший (Senior),CI/CD methodologies,Devops,Администрирование Linux,Git,Zabbix"
2020-09-28,QA engineer (DWH) ,"Тестирование,Средний (Middle),SQL,PostgreSQL,SAS,Unix,Linux"
2020-10-22,Разработчик SHAREPOINT,"Разработка ПО,Средний (Middle),Sharepoint,Asp.net,JavaScript"
2020-10-21,Инженер по тестированию,"Тестирование,Средний (Middle),SQL,Функциональное тестирование,Тестирование ПО,Тестирование мобильных приложений,Разработка тест-кейсов"
2020-10-21,Инженер по тестированию,"Тестирование,Средний (Middle),SQL,Функциональное тестирование,Тестирование ПО,Тестирование мобильных приложений,Разработка тест-кейсов"
2020-10-21,Инженер по тестированию,"Тестирование,Средний (Middle),SQL,Функциональное тестирование,Тестирование ПО,Тестирование мобильных приложений,Разработка тест-кейсов"
2020-10-21,Инженер по тестированию,"Тестирование,Средний (Middle),SQL,Функциональное тестирование,Тестирование ПО,Тестирование мобильных приложений"
2020-10-21,Ведущий системный аналитик,"Аналитика,Ведущий (Lead),SQL,XML,Axure,Проектирование интерфейсов,BPMN,Uml,Системный анализ,Описание бизнес-процессов,Проектирование информационных систем,Бизнес-моделирование"
2020-10-21,Data Scientist,"Аналитика,Средний (Middle),Python,SQL"
2020-10-20,Инженер по тестированию,"Тестирование,Средний (Middle),SQL,Тестирование ПО,Ручное тестирование,Функциональное тестирование"
2020-10-20,Java-разработчик,"Разработка ПО,Средний (Middle),Java,Kotlin,Python,JavaScript,HTML,CSS,Git,Kubernetes,Rest,Soap"
2020-10-20,Тестировщик ПО,"Тестирование,Средний (Middle),Тестирование ПО,Ручное тестирование,Функциональное тестирование,SQL"
2020-10-20,Бизнес-аналитик,"Аналитика,Средний (Middle),Uml,BPMN,Бизнес аналитика,Системная аналитика,Описание бизнес-процессов"
2020-09-30,"Разработчик Java (Middle, Senior)","Бэкенд,Средний (Middle),Java,Spring Boot,PostgreSQL,Docker,Angular"
2020-09-29,Web-разработчик,"Дизайн,Средний (Middle),JavaScript,Linux,Rest,XML,HTML,CSS,Node.js,Ajax,SQL,Git,Java,Python"
2020-09-29,Data Engineer,"Разработка ПО,Средний (Middle),Linux,SQL,ELK Stack,Python,Java,Git,Jira,Docker,Gitlab,Kubernetes,Arduino,Программирование микроконтроллеров"
2020-09-29,Frontend Engineer,"Фронтенд,Старший (Senior),JavaScript,Typescript,Angular,Node.js,CSS,HTML,Webpack,HTTP,Karma,Less,Restful api,Ajax,UI/UX дизайн"
2020-10-27,Ведущий инженер по тестированию,"Тестирование,Старший (Senior),Функциональное тестирование,SQL,HTML,XML,CSS"
2020-10-27,Разработчик Java,"Бэкенд,Средний (Middle),Hibernate,Java spring framework,Java"
2020-10-27,Инженер по автоматизации тестирования (Java),"Тестирование,Средний (Middle),Junit,Java,SQL,HTML,XML,Xpath,CSS,SVN,Apache maven,Selenium,Функциональное тестирование"
2020-10-27,Разработчик Java,"Бэкенд,Средний (Middle),Java EE,Oracle,PostgreSQL,Java spring framework,Java"
2020-10-27,Разработчик DWH и BI (Oracle),"Разработка ПО,SQL,Dwh,Pl/sql"
2020-10-27,Ведущий разработчик Oracle (Банковское ПО),"Разработка ПО,Старший (Senior),Pl/sql,Oracle pl"
2020-10-27,Аналитик данных,"Аналитика,Средний (Middle),Python,SQL,MySQL,Oracle"
2020-10-26,Инженер-проектировщик по мультимедийным системам,"Другое,Средний (Middle),Autocad,Работа с аудио и видео"
2020-10-26,Ведущий консультант по информационной безопасности,"Другое,Ведущий (Lead),Информационная безопасность,Консалтинг"
2020-10-26,Старший сетевой инженер,"Другое,Старший (Senior),Cisco ccnp,Cisco ccna,Сетевые технологии,Сетевые технологии,Телекоммуникации"
2020-10-26,Старший сетевой инженер (ACI),"Другое,Старший (Senior),Сетевые технологии,Телекоммуникации"
2020-10-26,Инженер инфраструктурных решений,"Другое,Старший (Senior),Active directory,Microsoft SQL server,Microsoft exchange server,Виртуализация"
