date,title,skills
2017-06-14,Менеджер по продажам IT-услуг ,"Продажи,Продажи,Информационные технологии,Управление IT-услугами"
2017-06-09,Инженер DevOps,"Администрирование,Devops,Администрирование Linux,Системное администрирование"
2017-05-24,PHP разработчик,"Разработка ПО,PHP,MySQL,PostgreSQL,Git,JavaScript,Doctrine2"
2017-02-09,Разработчик Java,"Разработка ПО,Java,Java spring framework,Hibernate,Высоконагруженные системы,Jboss application server,PostgreSQL,Git"
2016-04-25,Разработчик Java,"Разработка ПО,Java,Java EE,Java spring framework"
2015-11-19,Аналитик BPM,"Аналитика,Анализ требований,Бизнес-анализ,Системный анализ,Бизнес аналитика,Системная аналитика,Аналитика требований"
2015-11-19,Ведущий инженер по тестированию,"Тестирование,Тестирование ПО,Автоматизация тестирования,Разработка тест-кейсов,Функциональное тестирование,Ручное тестирование,Нагрузочное тестирование,Контроль качества,Баг-трекинг"
2015-11-18,Разработчик Unity,"Разработка ПО,Unity3d,C#,Графика для игр,Разработка программного обеспечения,Разработка под Android,Разработка под iOS"
2015-11-18,Системный архитектор,"Другое,Soa,Java,Проектирование информационных систем,Проектирование архитектуры приложений,Архитектура системы,Системная интеграция,Oracle,Unix,Linux"
2014-07-22,Аналитик Данных,"Бэкенд,Датамайнинг,Business intelligence,Веб аналитика,Интернет маркетинг"
2014-07-22,Разработчик Front-end,"Бэкенд,Rest,HTML,CSS,JavaScript"
2014-04-29,Аналитик / Ведущий аналитик,"Бэкенд,Uml,Разработка ТЗ"
2014-03-06,Руководитель программы проектов,Бэкенд
2014-03-05,Руководитель службы технической поддержки,"Бэкенд,Oracle,Vmware,Unix,PostgreSQL,Java"
2018-07-05,Архитектор магазина приложений T-store,"Разработка ПО,Проектирование архитектуры приложений,CI/CD methodologies"
2018-07-05,DevOps инженер (отдел рекламных технологий),"Администрирование,Devops,Zabbix,Ansible,Hadoop,Linux,Git,MongoDB,Python,Bash,CI/CD methodologies"
2018-07-05,Инженер DevOps,"Администрирование,Devops,Администрирование Linux,Ansible,CI/CD methodologies,Мониторинг,Системное администрирование,Kubernetes,Docker,Nginx,Высоконагруженные системы"
2018-07-05,Администратор Linux в отдел технической поддержки,"Администрирование,Linux,Python,Ansible,Администрирование Linux,Puppet"
2018-07-05,Инженер OpenStack,"Администрирование,Openstack,Ansible,Devops,CI/CD methodologies,Chef,Администрирование Linux"
2018-07-05,Администратор баз данных PostgreSQL,"Администрирование,PostgreSQL,Администрирование баз данных"
2018-06-08,Golang developer/Team Lead,"Бэкенд,Golang"
2018-06-01,Product analyst,"Аналитика,Веб аналитика,Бизнес аналитика,Финансовая аналитика,Работа в команде,Управление продуктами,Управление проектами,Оптимизация бизнес-процессов,Jira,Проектное планирование"
2018-06-01,Kotlin разработчик,"Бэкенд,Kotlin"
2018-05-29,Middle / Senior Java Developer,"Бэкенд,Java"
2017-11-09,UI/UX дизайнер,"Дизайн,Sketch,UI/UX дизайн,Проектирование интерфейсов,Прототипирование,Разработка интерфейсов"
2016-11-22,Senior Scala Developer,"Бэкенд,Бэкенд,Scala,SQL,Oracle,Websockets"
2016-06-07,Senior Front-end разработчик (JavaScript),"Бэкенд,Rest,ExpressJS,Vanilla.js,HTML,Node.js,CSS"
2014-11-20,Старший тестировщик ESB/PG,"Бэкенд,Mssql,Oracle,Soapui"
